Respondent_Serial,brand,OSAT,Food looks appetizing,Has food that tastes good,Has food I crave,Provides the right proportions of ingredients,Has a wide variety of menu options,Offers healthy/better-for-you menu options,Is making changes to improve their food,"Has a unique, distinctive approach that makes food better",Has a wide range of ingredients,Portions are the right size for my appetite,Has good environmental/sustainability practices,Is worth the price,Is something I can afford to eat regularly,Is competitively priced,Is a good value for the money,Has enticing promotional offers,Has a good loyalty program,Employees show care for my food/order,Provides fast service,Ordering is simple and easy,Employees are friendly and engaging,Level of visibility of my food being made,I’m able to make my order exactly how I would like it,Provides a consistent experience,Integrates technology into its ordering process,Food is easy to eat on-the-go,I can easily order for delivery to a location convenient to me,Food prep area is clean and organized,Restaurant is clean,Environment is warm and inviting,Decor is current and modern,Restaurant environment is designed for someone like me,Restaurant has curb appeal,Ingredients are fresh,Ingredients are high quality,Offers good quality meats,Offers good quality veggies and toppings,Uses freshly baked bread,They make me feel valued,Place I am happy to be seen
2,Subway,4,6,5,3,3,4,6,2,1,3,3,3,1,1,1,2,3,2,1,6,4,2,7,6,5,3,4,4,5,4,3,4,1,3,5,5,3,5,6,2,3
2,McDonalds,2,5,1,4,1,1,1,1,1,1,3,1,1,1,4,1,5,2,1,4,2,2,1,1,5,1,4,3,4,4,1,5,1,3,2,1,1,2,2,1,1
4,Subway,5,4,4,4,5,6,6,,,6,6,,5,5,5,5,5,,4,6,6,4,6,7,6,,6,,6,5,3,3,3,3,6,5,5,5,7,4,4
4,McDonalds,6,3,5,5,4,2,1,,2,,6,,7,7,7,7,2,,4,7,7,6,1,6,7,7,7,,,7,4,4,5,4,1,1,1,1,,4,3
5,Firehouse Subs,5,5,4,4,4,5,4,4,5,6,5,3,4,5,5,4,3,3,4,5,4,5,3,6,4,4,3,3,4,5,4,5,4,4,3,5,5,4,5,4,5
5,Panera,5,3,5,5,5,6,7,4,6,5,5,6,5,7,5,6,7,6,6,7,7,4,5,7,5,5,2,6,6,7,6,6,4,7,5,6,6,5,6,6,6
7,Firehouse Subs,5,5,5,5,4,6,4,5,3,3,3,3,5,4,4,4,4,4,4,5,3,4,4,4,3,3,4,4,3,4,3,5,3,4,5,5,4,5,5,5,6
7,Jimmy Johns,4,5,4,5,4,3,3,3,5,4,3,4,4,4,4,4,4,4,5,4,5,4,4,4,5,4,5,4,5,4,4,4,4,5,4,4,4,5,4,5,5
10,Subway,6,7,7,7,6,6,6,6,5,6,6,6,7,6,5,5,6,5,6,7,6,6,6,6,6,6,6,5,6,7,5,6,5,6,6,7,6,6,7,6,6
10,McDonalds,6,6,5,5,6,5,6,6,5,6,5,6,5,6,6,5,6,6,5,5,6,6,5,5,6,6,5,6,6,6,6,5,5,5,5,5,6,5,6,6,6
15,Chipotle,4,6,5,4,6,6,6,4,4,6,6,6,5,5,5,5,,,3,6,6,4,6,6,4,5,4,2,5,5,3,4,4,3,6,6,5,5,,4,5
15,Panera,5,5,5,4,4,5,4,,4,5,6,,5,5,5,4,3,,4,4,6,5,4,5,5,5,3,2,5,6,4,4,5,5,5,5,5,5,4,4,6
16,Chipotle,4,4,4,4,6,4,6,4,6,7,4,6,6,1,6,7,4,,4,5,6,4,7,4,7,6,2,,5,6,5,5,5,4,5,7,5,5,4,5,3
16,Firehouse Subs,7,7,7,7,5,4,5,,6,4,7,5,7,4,4,7,4,,6,7,7,5,6,7,7,4,7,4,7,6,5,4,5,5,6,7,7,5,7,4,7
